time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss
108,442368,1225.0,4.99759136,343,1287,-0.014683247543871403,0.0040165195,-0.24483107794076203,0.0334228515625,0.2,-0.00925947136420291,1070,0.9979923,0.0003,2.9026555512245978e-05
109,446464,1225.0,5.02869275,346,1288,-0.015987209975719452,0.0039378805,-0.23094586674124,0.03720703125,0.2,-0.01023649963317439,1080,0.99801254,0.0003,2.8500547091425688e-05
110,450560,1225.0,5.05764626,349,1288,-0.01818745769560337,0.0043503838,-0.2211826616898179,0.03798828125,0.2,-0.010365709266625344,1090,0.9978372,0.0003,3.222563768758846e-05
111,454656,1225.0,5.09943722,352,1288,-0.017604636028409004,0.004682853,-0.23651780746877193,0.0430419921875,0.2,-0.010929224170104135,1100,0.99764055,0.0003,3.452661037499638e-05
112,458752,1225.0,5.12803172,355,1289,-0.015101405791938305,0.004352177,-0.22620543334633111,0.0407470703125,0.2,-0.01001761491643265,1110,0.99745816,0.0003,3.303530565972324e-05
113,462848,1225.0,5.15615985,358,1289,-0.020868342369794846,0.004466807,-0.22264725677669048,0.0423583984375,0.2,-0.011314066042541527,1120,0.99787545,0.0003,3.166803846852417e-05
114,466944,1225.0,5.19506121,362,1289,-0.019953327253460884,0.0054634837,-0.23459696415811776,0.0509521484375,0.2,-0.012356795422965661,1130,0.99775803,0.0003,3.4586699507599404e-05
115,471040,1225.0,5.2219975,365,1289,-0.014737462624907494,0.0037870137,-0.21811930183321238,0.0375244140625,0.2,-0.009106187318684534,1140,0.99716705,0.0003,3.6461300737755664e-05
116,475136,1225.0,5.248783479999999,368,1290,-0.018924400210380554,0.003815529,-0.20877573005855082,0.037646484375,0.2,-0.010226837126538157,1150,0.9978588,0.0003,2.977436881792528e-05
117,479232,1225.0,5.28828234,371,1290,-0.014587907120585442,0.004253118,-0.21621797680854798,0.03935546875,0.2,-0.009361125982832164,1160,0.9973358,0.0003,3.961503930440813e-05
118,483328,1225.0,5.31035405,374,1290,-0.009334216825664043,0.0040056007,-0.20887058973312378,0.03828125,0.2,-0.009066778077976779,1170,0.9977506,0.0003,3.008917760780605e-05
119,487424,1225.0,5.335525029999999,377,1290,-0.011244889348745346,0.00386333,-0.19955224860459567,0.0387451171875,0.2,-0.010454274495714344,1180,0.9969779,0.0003,4.2526413380983286e-05
120,491520,1225.0,5.369401990000001,380,1290,-0.018047785386443138,0.0046664,-0.20310157537460327,0.0365234375,0.2,-0.010234456550097092,1190,0.9984049,0.0003,2.085444402837311e-05
121,495616,1225.0,5.393109800000001,384,1289,-0.0162198506295681,0.0030093314,-0.19308122638612985,0.0294677734375,0.2,-0.008273931525764056,1200,0.9980965,0.0003,2.5673151867522392e-05
122,499712,1225.0,5.418756220000001,387,1290,-0.01446698047220707,0.00408723,-0.18554802779108287,0.0382080078125,0.2,-0.009825996105792,1210,0.9980348,0.0003,2.9040203139629738e-05
123,503808,1225.0,5.44853582,390,1290,-0.01728278212249279,0.0068968036,-0.19417320024222134,0.045751953125,0.2,-0.01054041443276219,1220,0.9984289,0.0003,2.0333043141818053e-05
124,507904,1225.0,5.46949315,393,1290,-0.015612308867275715,0.004111876,-0.19071593135595322,0.0373779296875,0.2,-0.009616869286401198,1230,0.99741423,0.0003,3.6386745227900975e-05
125,512000,1225.0,5.49005571,396,1290,-0.018641389906406403,0.00428484,-0.18350685182958842,0.040234375,0.2,-0.010049013642128558,1240,0.9979663,0.0003,2.8614841016860738e-05
126,516096,1225.0,5.519435990000002,399,1290,-0.020709287375211716,0.006126593,-0.18404026087373496,0.036279296875,0.2,-0.00899219640850788,1250,0.99814177,0.0003,2.3397970267069468e-05
127,520192,1225.0,5.53805578,403,1290,-0.010544968768954277,0.004250995,-0.177597226947546,0.037890625,0.2,-0.010101645672693848,1260,0.9975311,0.0003,3.317655844057299e-05
128,524288,1225.0,5.55947321,406,1289,-0.017691563814878464,0.007025106,-0.1745332656428218,0.044921875,0.2,-0.009938109124777838,1270,0.99775577,0.0003,3.334896978230972e-05
129,528384,1225.0,5.586748779999999,409,1289,-0.013195310719311237,0.004362938,-0.17649212535470724,0.0322265625,0.2,-0.00913731765758712,1280,0.9981611,0.0003,2.3889451767900027e-05
130,532480,1225.0,5.604786020000001,413,1289,-0.013795869424939156,0.003554644,-0.17157939691096544,0.030908203125,0.2,-0.007514149232883937,1290,0.99781895,0.0003,3.3343368477289916e-05
131,536576,1225.0,5.629054160000001,416,1288,-0.015426266938447952,0.0058803447,-0.1734908888116479,0.0392822265625,0.2,-0.009787658357527106,1300,0.9980243,0.0003,2.494602729257167e-05
132,540672,1225.0,5.647929029999999,419,1288,-0.01589033007621765,0.005961169,-0.16977476757019758,0.04169921875,0.2,-0.009689305105712264,1310,0.9974829,0.0003,3.710678940933576e-05
133,544768,1225.0,5.665194729999999,422,1289,-0.010384568944573402,0.0052857697,-0.15918563548475503,0.0388427734375,0.2,-0.009178828069707379,1320,0.9983236,0.0003,1.918456455314299e-05
134,548864,1225.0,5.682893560000001,425,1289,-0.015553371980786324,0.0056867856,-0.16245454289019107,0.03212890625,0.2,-0.008684759034076705,1330,0.9980267,0.0003,2.8976764997423744e-05
135,552960,1225.0,5.6969409299999985,428,1289,-0.013971308246254921,0.005014605,-0.16260475460439922,0.0354736328125,0.2,-0.008672807033872233,1340,0.99745756,0.0003,3.0414009279411404e-05
136,557056,1225.0,5.7085912599999995,432,1289,-0.010347183793783188,0.0065826364,-0.15917326584458352,0.0338623046875,0.2,-0.00836953365651425,1350,0.99806106,0.0003,2.358263500354951e-05
137,561152,1225.0,5.72525717,435,1289,-0.013450996950268745,0.0037071614,-0.16923737712204456,0.0328369140625,0.2,-0.008566274301847443,1360,0.99698013,0.0003,4.1178000697073006e-05
138,565248,1225.0,5.73741226,438,1289,-0.0106431283056736,0.0041716048,-0.16575654465705156,0.03623046875,0.2,-0.008656466286629439,1370,0.9966678,0.0003,3.816610585545277e-05
139,569344,1225.0,5.74988068,441,1289,-0.0191443283110857,0.005702351,-0.1558125626295805,0.0458984375,0.2,-0.010729547636583448,1380,0.9977076,0.0003,3.1889127421891315e-05
140,573440,1225.0,5.76964744,444,1289,-0.017566321417689323,0.004941225,-0.15940410178154707,0.0371337890625,0.2,-0.009638986852951347,1390,0.99829507,0.0003,2.180914467544426e-05
141,577536,1225.0,5.782674260000001,447,1289,-0.006471802480518818,0.004368115,-0.1542476424947381,0.0315673828125,0.2,-0.007623149454593659,1400,0.9989182,0.0003,1.278810800613428e-05
