rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/loss,train/learning_rate
2482.0,101,4.38554689,1826,226,413696,-0.007507992477621883,-0.3051157630980015,0.0041841757,0.9652559,0.0010045956521935295,0.0459228515625,1000,0.2,-0.007646066602319479,0.0003
2482.0,102,4.43418316,1826,228,417792,-0.009220338452723808,-0.31538591608405114,0.004994401,0.9624855,0.0011062115074309987,0.0421630859375,1010,0.2,-0.010619064792990685,0.0003
2482.0,103,4.46341682,1826,230,421888,-0.007721893442794681,-0.3228786252439022,0.004020144,0.9496932,0.0009779913678357843,0.039208984375,1020,0.2,-0.006519393529742956,0.0003
2482.0,104,4.515278939999999,1826,233,425984,-0.00949279280321207,-0.3162588842213154,0.005156718,0.9695836,0.0008897007384803147,0.0535888671875,1030,0.2,-0.010199345648288727,0.0003
2482.0,105,4.5647151500000005,1826,235,430080,-0.008855678988038563,-0.3319924380630255,0.005785129,0.9606131,0.0011088386600022204,0.0476318359375,1040,0.2,-0.009141162037849426,0.0003
2482.0,106,4.59646499,1825,237,434176,-0.007752026917296461,-0.3331857562065125,0.0037666159,0.9585951,0.0008920803054934367,0.03603515625,1050,0.2,-0.015701448544859886,0.0003
2482.0,107,4.65411015,1818,240,438272,-0.009175058218534104,-0.31938027441501615,0.0044615837,0.96995044,0.0008937997605244164,0.04150390625,1060,0.2,-0.01648348569869995,0.0003
2482.0,108,4.70686907,1813,243,442368,-0.007154442663886584,-0.32926512584090234,0.0042419406,0.966317,0.0009920459960994776,0.038232421875,1070,0.2,-0.013664769008755684,0.0003
2482.0,109,4.73684124,1806,247,446464,-0.008357148681534454,-0.32340918146073816,0.004747836,0.9648108,0.0008409995694819372,0.0455322265625,1080,0.2,-0.015344170853495598,0.0003
2482.0,110,4.79536306,1802,249,450560,-0.00714887845388148,-0.30740484669804574,0.0037439677,0.9754347,0.0007772939243295696,0.0386962890625,1090,0.2,-0.008865238167345524,0.0003
2482.0,111,4.85024271,1799,252,454656,-0.007255076958244899,-0.31723020114004613,0.00377529,0.9710212,0.0008873823171597905,0.03896484375,1100,0.2,-0.01395301055163145,0.0003
2482.0,112,4.8752166699999995,1797,255,458752,-0.009010144075728022,-0.3143768239766359,0.0037386494,0.96904665,0.0007296243187738582,0.039453125,1110,0.2,-0.016224008053541183,0.0003
2482.0,113,4.92984807,1793,257,462848,-0.007007396506378427,-0.30747824124991896,0.004286496,0.9759994,0.0007622094643011223,0.03984375,1120,0.2,-0.014383875764906406,0.0003
2482.0,114,4.9930503900000005,1790,260,466944,-0.00976178229902871,-0.323713057115674,0.005783259,0.9729907,0.0008590917765104678,0.0527099609375,1130,0.2,-0.017594438046216965,0.0003
2482.0,115,5.028721129999999,1787,263,471040,-0.008295160537818447,-0.31892803609371184,0.004551463,0.9749432,0.0006373543066729326,0.0433349609375,1140,0.2,-0.018489671871066093,0.0003
2482.0,116,5.08863335,1785,266,475136,-0.008008929505012929,-0.3195141706615686,0.005151072,0.9777727,0.0007689165999181568,0.0454833984375,1150,0.2,-0.00804347638040781,0.0003
2482.0,117,5.14818679,1783,268,479232,-0.008735095761949196,-0.33656562156975267,0.0044333665,0.9752382,0.0007956715766340494,0.0443603515625,1160,0.2,-0.01419716514647007,0.0003
2482.0,118,5.17468383,1781,271,483328,-0.008835716542671434,-0.3207768976688385,0.0038872955,0.9791624,0.0005485849313117796,0.0326171875,1170,0.2,-0.013887752778828144,0.0003
2482.0,119,5.22961278,1778,274,487424,-0.008568032298353501,-0.32658000104129314,0.0044987816,0.977562,0.000771283117501298,0.043115234375,1180,0.2,-0.011375936679542065,0.0003
2482.0,120,5.279316500000001,1775,276,491520,-0.007318507297895849,-0.3442396029829979,0.0030559034,0.97242546,0.0006002662190439878,0.0308837890625,1190,0.2,-0.011212500743567944,0.0003
2482.0,121,5.30568622,1773,279,495616,-0.011132618944975548,-0.3254277132451534,0.005545234,0.9818012,0.0006391758750396547,0.0564208984375,1200,0.2,-0.019800614565610886,0.0003
2482.0,122,5.363208870000001,1771,282,499712,-0.009564906690502539,-0.33545900508761406,0.005402565,0.98009604,0.0006956761244509835,0.0490234375,1210,0.2,-0.019290318712592125,0.0003
2482.0,123,5.38920607,1768,284,503808,-0.009891948421136476,-0.3431373931467533,0.004965863,0.97565883,0.0005644984485115856,0.0517822265625,1220,0.2,-0.018252450972795486,0.0003
